행정 구역,업소명,소재지,전화번호,관리구분,coords
서울 강남구,강남복지충전소,서울 강남구 자곡동 373-1 (1층),02-445-3300,자동차충전,"[37.4763744810253, 127.105459882197]"
서울 강남구,(주)진양가스,서울 강남구 도곡동 552-4,02-3463-6811,자동차충전,"[37.4904997775776, 127.035696328909]"
서울 강남구,대치에너지주식회사,서울 강남구 대치동 27-15,02-3412-2828,자동차충전,"[37.4993371909186, 127.078104086886]"
서울 강남구,남서울가스(주),서울 강남구 대치동 21-1,02-3411-4411,용기+자동차+13kg용기,"[37.4977959496269, 127.075562803125]"
서울 강남구,(주)수서에너지,서울 강남구 자곡동 204-1,02-445-1083,자동차충전,"[37.4828535323026, 127.105060577053]"
서울 강동구,암사충전소,서울 강동구 암사동 503-30,02-3427-4244,자동차충전,"[37.5518398151733, 127.127773798209]"
서울 강동구,복지상일충전소,서울 강동구 상일동 443-5,02-442-5583,자동차충전,"[37.5450321229421, 127.170025597418]"
서울 강동구,(주)경기에너지,서울 강동구 성내동 19-1,02-485-3305,자동차충전,"[37.5365185282288, 127.129002234033]"
서울 강동구,복지둔촌충전소,서울 강동구 둔촌동 115-1,02-488-4892,자동차충전,"[37.5251370600419, 127.146533353423]"
서울 강북구,(주)청학에너지,서울 강북구 번3동 267,02-980-1163,자동차충전,"[37.628043406, 127.04412554]"
서울 강북구,서울와사공업(주),서울 강북구 번1동 446-31,02-902-1112,자동차충전,"[37.636226554, 127.02454178]"
서울 강북구,국제가스공업(주),서울 강북구 수유1동 48-23,02-988-5565,자동차충전,"[37.634360356, 127.021860827]"
서울 강서구,(주)삼표에너지 김포충전소,서울 강서구 오쇠동 150-5,02-2661-3111,용기+탱크+13kg용기,"[37.5380944907991, 126.798090686825]"
서울 강서구,강서가스충전소,서울 강서구 오곡동 593-2,02-682-9100,자동차충전,"[37.5549368206352, 126.768987283185]"
서울 강서구,대양가스충전소,서울 강서구 가양동 449-13,02-2668-5151,자동차충전,"[37.5584437800742, 126.860708617203]"
서울 강서구,오곡동충전소,서울 강서구 오곡동 699-14,02-684-9061,자동차충전,"[37.5558048611293, 126.768229926742]"
서울 강서구,공항로충전소,서울 강서구 등촌동 534-12,02-2653-7211,자동차충전,"[37.5535726198354, 126.858387511033]"
서울 강서구,대흥에너지산업(주),서울 강서구 화곡동 898-3,02-2602-2448,자동차충전,"[37.5301629369371, 126.847319107047]"
서울 강서구,한경에너지,서울 강서구 개화동 215-6,02-2064-0786,자동차충전,"[37.5875313553216, 126.799091590521]"
서울 강서구,활주로충전소,서울 강서구 외발산동 384-2,02-676-8289,자동차충전,"[37.542884007, 126.817080254]"
서울 강서구,복지개화충전소,서울 강서구 개화동 509-4,02-2661-5151,자동차충전,"[37.5752378697374, 126.801564748736]"
서울 강서구,복지마곡충전소,서울 강서구 마곡동 754,02-2668-2377,자동차충전,"[37.572549552, 126.82631509]"
서울 강서구,대영가스 충전소,서울 강서구 마곡동 761-2,02-2659-9520,자동차충전,"[37.572254696, 126.830979503]"
서울 강서구,방화동LPG충전소,서울 강서구 방화동 45-9,02-2666-9033,자동차충전,"[37.5852014831261, 126.816701003148]"
서울 관악구,신림충전소,서울 관악구 서림동 112-46,02-882-3434,자동차충전,"[37.473530055, 126.934083934]"
서울 관악구,명화가스(주),서울 관악구 낙성대동 1594-8,02-877-1376,자동차충전,"[37.473782949, 126.953507589]"
서울 광진구,해양가스,서울 광진구 자양동 628-19,02-444-2442,자동차충전,"[37.5346542332874, 127.083684470196]"
서울 광진구,중곡동충전소,서울 광진구 중곡동 611-7,02-467-4708,자동차충전,"[37.5600856712017, 127.073725000557]"
서울 광진구,한양에너지(주),서울 광진구 중곡동 237-8,02-467-8341,자동차충전,"[37.564964693202, 127.076620365821]"
서울 구로구,오승프라임산업(주),서울 구로구 궁동 1-16,02-2618-5500,자동차충전,"[37.5069202213674, 126.829135125174]"
서울 구로구,대성산업(주)오류동충전소,서울 구로구 오류동 74-8,02-2612-0039,용기+자동차+13kg용기,"[37.492740694809, 126.837953228246]"
서울 구로구,동일석유(주)남부충전소,서울 구로구 구로3동 1123-2,02-830-0341,자동차충전,"[37.48437303, 126.901962308]"
서울 구로구,한일가스산업(주),서울 구로구 구로동 600-6,02-2675-2614,자동차충전,"[37.5018769163267, 126.877745152543]"
서울 구로구,개봉충전소,서울 구로구 개봉동 175-16,02-2685-2352,자동차충전,"[37.4964660333256, 126.860599229921]"
서울 금천구,(주)중앙에너비스 삼중가스지점,서울 금천구 독산2동 1059,02-8707-4587,자동차충전,"[37.460993755, 126.898491137]"
서울 노원구,신성에너지주식회사,서울 노원구 공릉동 711-1,02-972-2254,자동차충전,"[37.6291630142527, 127.070827556521]"
서울 노원구,(주)노일가스,서울 노원구 상계1동 1034-1,02-934-8851,자동차충전,"[37.6713898117658, 127.055575825723]"
서울 노원구,(주)평안에너지상계충전소,서울 노원구 중계2.3동 515-5,02-972-5274,자동차충전,"[37.649219191, 127.067179313]"
서울 노원구,복지공릉충전소,서울 노원구 공릉동 26-69,02-3296-2903,자동차충전,"[37.6389995094706, 127.109726783097]"
서울 노원구,태능가스(주),서울 노원구 공릉동 690-11,02-972-3031,자동차충전,"[37.6169773825324, 127.072525245416]"
서울 노원구,복지노원충전소,서울 노원구 상계동 1205-4,02-934-9077,자동차충전,"[37.6872079261507, 127.05584077201]"
서울 도봉구,동원가스충전소,서울 도봉구 창2동 643-2,02-902-1231,자동차충전,"[37.644224122, 127.032635317]"
서울 도봉구,케이와이에너지 (주)한영충전소,서울 도봉구 쌍문2동 715-1,02-994-1181,자동차충전,"[37.660656655, 127.041304272]"
서울 도봉구,(주)평안에너지 도봉충전소,서울 도봉구 도봉동 376,02-3494-5185,자동차충전,"[37.6922489127105, 127.04442236661]"
서울 동대문구,복지장안충전소,서울 동대문구 답십리동 1-427,02-2213-5711,자동차충전,"[37.575959913639, 127.06731092017]"
서울 동대문구,수도에너지(주)동서울충전소,서울 동대문구 휘경동 267-10,02-2244-6666,자동차충전,"[37.5895873776523, 127.059448773846]"
서울 동대문구,(주)홍릉가스충전소,서울 동대문구 청량리2동 205-776,02-962-9100,자동차충전,"[37.5876472549905, 127.052993726287]"
서울 동대문구,장안동가스충전소,서울 동대문구 장안동 413-6,02-2214-5151,자동차충전,"[37.5628804258246, 127.058775108534]"
서울 동작구,동일석유(주)동주충전소,서울 동작구 대방동 334,02-821-2236,자동차충전,"[37.499459066992, 126.928837077274]"
서울 서대문구,연일가스산업(주),서울 서대문구 북가좌1동 392-27,02-3075-4114,자동차충전,"[37.573825306, 126.906180273]"
서울 서초구,(주)에이치앤디이-서울만남의광장,서울 서초구 원지동 10-16,02-573-7430,자동차충전,"[37.4600883955452, 127.04208399514]"
서울 서초구,서초충전소,서울 서초구 방배동 623-5,02-582-3636,자동차충전,"[37.4731812157774, 126.995358181084]"
서울 서초구,수도석유(주)방배충전소,서울 서초구 방배동 443-1 (수도석유(주)방배충전소),02-582-4141,자동차충전,"[37.4791036332105, 126.982137128459]"
서울 서초구,(주)영동가스,서울 서초구 잠원동 55-6,02-534-2350,자동차충전,"[37.5188874157475, 127.011846751135]"
서울 성동구,대성산업(주)동부충전소,서울 성동구 성수동2가 284-108,02-463-2202,자동차충전,"[37.5505097815363, 127.052311969358]"
서울 성동구,서울숲충전소,서울 성동구 성수동1가 656-1119,02-463-5616,자동차충전,"[37.5488226798397, 127.044896257318]"
서울 성북구,우일에너지(주),서울 성북구 하월곡동 88-681,02-913-8722,자동차충전,"[37.6080540647388, 127.030281930468]"
서울 성북구,(주)장위가스,서울 성북구 장위3동 44-3,02-916-3233,자동차충전,"[37.613271084, 127.060639378]"
서울 송파구,잠실복지충전소,서울 송파구 잠실동 336-9,02-415-3311,자동차충전,"[37.5036287585363, 127.087048110333]"
서울 송파구,오금가스충전소,서울 송파구 오금동 31-4,02-402-5151,자동차충전,"[37.5062307859546, 127.131664439014]"
서울 송파구,홍익에너지(주),서울 송파구 석촌동 183-1,02-412-5151,자동차충전,"[37.5081188792382, 127.103633177987]"
서울 송파구,MG새마을금고 송파충전소,서울 송파구 장지동 544-3,02-449-9123,자동차충전,"[37.4755252508197, 127.131224015304]"
서울 양천구,복지신정충전소,서울 양천구 신정동 162-15,02-2645-4600,자동차충전,"[37.5073084052772, 126.871194546213]"
서울 양천구,수도에너지(주),서울 양천구 신정동 813-17,02-2060-7160,자동차충전,"[37.5070385045915, 126.839080498525]"
서울 양천구,(주)대흥가스,서울 양천구 신월1동 131-7,02-2693-0535,자동차충전,"[37.5310229694254, 126.832025425812]"
서울 양천구,비케이서비스산업(주),서울 양천구 신월동 53-1,02-2692-9909,자동차충전,"[37.5389760344059, 126.826643090247]"
서울 양천구,(주)남양가스,서울 양천구 신월7동 998-4,02-2603-2345,자동차충전,"[37.5205982652282, 126.837225114199]"
서울 양천구,목동충전소,서울 양천구 신정4동 994-4,02-2604-6141,자동차충전,"[37.5256128672784, 126.864088616097]"
서울 영등포구,(주)세지,서울 영등포구 문래동6가 1-3,02-2677-9775,자동차충전,"[37.5175173190102, 126.888518128076]"
서울 영등포구,기린에너지,서울 영등포구 양평동4가 158,02-2068-7800,자동차충전,"[37.5360139572956, 126.899247694056]"
서울 영등포구,양평동충전소,서울 영등포구 양평동3가 59,02-2672-1175,자동차충전,"[37.5280394242985, 126.891167327773]"
서울 은평구,신흥에너지산업(주),서울 은평구 증산동 223-9,02-373-0051,자동차충전,"[37.5788182093213, 126.900249453204]"
서울 은평구,(주)삼표에너지 수색충전소,서울 은평구 증산동 223-5,02-372-7113,자동차충전,"[37.5788006469716, 126.89995740713]"
서울 은평구,은평서부충전소,서울 은평구 진관동 35,02-352-4806,자동차충전,"[37.6436589651536, 126.921237979427]"
서울 중랑구,신내LPG충전소,서울 중랑구 신내동 317-8,02-2208-5151,자동차충전,"[37.6127507837583, 127.100760717061]"
서울 중랑구,(주)풍림에너지,서울 중랑구 면목5동 169-6,02-434-0557,자동차충전,"[37.579685683, 127.079232111]"
서울 중랑구,동일석유(주)황금충전소,서울 중랑구 중화2동 208-11,02-435-2627,자동차충전,"[37.594244462, 127.075786773]"
서울 중랑구,망우충전소,서울 중랑구 망우동 340-16,02-432-5400,자동차충전,"[37.6005788748545, 127.101918499648]"
